fa_num, fa_me_id, fa_q, fa_a
44,smegadmin,간냉식과 직냉식이 뭐가 다른가요?,"간냉식의 경우는 간접냉각방식으로 나오는 냉기를 간접적으로(팬) 전달하는 방식으로 음식이 빨리 건조해질수 있는 반면 냉장고가 빨리 차가워지고 식는 특징이 있습니다.<br>
직냉식은 직접냉각방식으로 벽면에 직접적으로 냉기가 나오는 방식이기 때문에 처음엔 안 차갑게 느껴질 수 있지만<br>
냉각판이 차가워진 이후부터는 냉기 보존 능력이 좋아 쉽게 식지 않습니다.<br>
간냉식에 비해 음식물이 건조해지지 않아 야채나 과일을 더 오래 보관할 수 있는 반면,<br>
도어를 자주 열거나 뜨거운 음식을 바로 넣으면 냉장고 내부에 습기가 많아져 성에가 생길 수 있는 가능성이 많아집니다."
45,smegadmin,냉장고 문을 세게 열어야 열리는데 왜 그런가요?,"냉동실 및 냉장실의 문을 닫은 후에 바로 열 때에는 따뜻한 외부 공기가 고내로서 냉각되어 수축이 발생하므로 잘 열리지 않는 경우가 있습니다. 이럴 경우는 5초 정도 경과 후 다시 열면 수월하게 열 수 있습니다. <br>
특히 새상품의 경우 압착력이 더 높아 세게 힘을 줘야 열리는 경우가 있으며 사용중 불편하실 경우는 방문하여 완화 작업도 가능합니다. (방문시 유무상 AS 적용)"
46,smegadmin,다른데서 구입한 스메그 제품도 A/S 가능한가요?,"당사는 SMEG 의 한국지사가 아닌 한국 공식수입사입니다.<br>
당사 구입내역 확인 및 제품 S/N 이 출고조회 되지 않을 경우 A/S 불가합니다.<br>
해외에서 구매한 제품|해외직구 및 다른 수입유통사를 통한 국내 온/오프라인 오픈마켓등에 공식 판매점 제품이 아닌 경우도 불가하며 당사에서 확인되지 않는 제품의 경우는 구매처로 문의주시기 바랍니다."
47,smegadmin,세금계산서 발행 가능한가요?,"현금영수증 의무발급 소득세법 시행령에 따르며 당사 결제대행사인 ""KCP""에서는 원칙적으로 세금계산서 발행이 되지 않아 당사 스메그코리아에서 역시 세금계산서 발행은 되지 않습니다.<br>
결제 진행시 현금영수증 신청 > 지출증빙용으로 발행 신청 하시기 바랍니다.<br>
지출 증빙용 현금영수증은 세금계산서와 동일한 효력이 있습니다."
48,smegadmin,현금영수증 발급은 어떻게 하나요?,"2020년 1월 1일부터 가전제품 소매업의 경우 현금영수증 의무발급 업종에 추가되어 건당 거래금액 10만원 이상 현금거래시 소비자 요구가 없더라도 현금영수증을 의무적으로 발급하게 되어 있습니다.(현금을 받은 날부터 5일 이내 국세청 지정 코드 010-000-1234 로 자진발급-소득세법시행령 별표3의3) <br>
현금영수증 발급은 가상계좌 결제시만 가능하며 주문결제창에서 소득증빙과 지출증빙 선택이 가능합니다.<br>
소득증빙시 휴대폰번호|지출증빙시 사업자번호로 발급이 가능합니다.<br>
현금영수증 발급여부는 국세청 홈텍스 사이트에서 직접 확인이 가능합니다. <br>
단|신용카드 결제시 카드매출전표가 증빙처리로 자동발급 되며 현금영수증 또는 세금계산서는 발급되지 않는 점 참고바랍니다. <br>"
49,smegadmin,신용카드로 결제했는데|다른 결제수단으로 바꾸고 싶어요.,"스메그에서 주문 후 결제수단을 변경할 수 없습니다.
결제수단 변경을 원하실 경우에는 주문취소 후 원하시는 결제수단으로 재주문하시기 바랍니다.

※ 주문취소 불가시 고객센터(☎1588-1588) 또는 1:1문의을 통해 문의하시기 바랍니다."
50,smegadmin,장바구니란 무엇인가요?,"장바구니는 오프라인 매장에서 이용하시는 장바구니 또는 카트와 같이 쇼핑 중 원하시는 상품을 담아놓는 기능으로 구매를 원하시는 상품을 장바구니에 모아 한 번에 함께 주문할 수 있습니다. <br>
단종|판매종료 및 보유상품 부족으로 구매가 불가능한 상품이 담긴 장바구니에서는 이를 제외하고 주문이 가능합니다. <br>
한정판매/패키지 상품은 장바구니에 담을 수 없으므로|이런 경우에는 장바구니에 담긴 상품을 삭제하시거나|각 상품 상세정보 페이지에서 '바로구매'를 클릭하여 개별적으로 구매하시기 바랍니다."
51,smegadmin,장바구니에 담은 상품들이 사라졌어요.,회원 장바구니는 최대 15일간 상품을 보관하며|기간 경과 시 자동 삭제됩니다. 
52,smegadmin,전화로도 주문이 가능한가요?,스메그에서는 고객센터를 통한 전화주문은 불가합니다. 
53,smegadmin,주문 후 주문내역을 변경할 수 있나요?,"스메그에서 상품 주문이 완료된 후에는 주문 정보를 변경하실 수 없습니다. <br>
주문 정보 변경이 필요하신 경우에는 주문을 취소 후 재주문 하시거나 고객센터(☎1588-1588)로 문의하시기 바랍니다."
54,smegadmin,주문 번호는 어떻게 확인할 수 있나요?,"주문/결제완료 후 E-mail 및 휴대폰으로 주문번호가 전송됩니다. <br>
또한 스메그 회원의 경우 로그인 후 마이페이지 > 나의 주문내역에서 주문번호를 확인 할 수 있습니다."
55,smegadmin,신용카드 영수증을 증빙서류로 쓸 수 있나요?,용카드 영수증(거래증빙서류)은 인감이 날인된 세금계산서와 동일하게 거래 및 결제의 증빙자료로 사용되오니|삭제하지 마시고 5년간 보관하시기 바랍니다. 
56,smegadmin,상품정보가 잘못되었어요.,잘못 표시된 정보는 고객센터(☎1588-1588) 또는 이메일 문의 메뉴를 통해 알려주시면 빠른 시간내에 수정하도록 하겠습니다. 
57,smegadmin,똑같은 상품인데 다른 쇼핑몰과 가격이 달라요.,"스메크는 최상의 품질과 서비스로 만족을 드리기위해 노력하고 있습니다. <br>
품목별로 경쟁력있는 상품을 만들기 위해 늘 노력하고 있으나|여러가지 구성품/사은품/무이자/적립금등의 다양한 혜택과 조건으로 인해 타 쇼핑몰과 가격의 차이가 발생할 수 있습니다. <br>
이점 양해 바라며|좋은 상품과 가격으로 고객님들께 서비스하기 위해 더욱 노력하겠습니다."
58,smegadmin,비회원도 주문할 수 있나요?,현재 비회원은 주문이 불가능합니다. 회원가입 해주세요.
59,smegadmin,오류신고는 어디서 하나요?,이메일문의|고객센터(☎1588-1588)로 문의하시면 신속한 조치로 도움을 드릴 수 있도록 최선을 다해 노력하겠습니다. 
60,smegadmin,고객센터 운영시간은 어떻게 되나요?,"스메그 고객센터는 아래와 같이 운영됩니다. <br>
  * 전화번호 : ☎1588-1588<br>
  * 운영시간 : 평일 09:00 ~ 18:00|토요일 09:00 ~ 13:00 (일요일|공휴일 휴무)<br>
전화상담 서비스 시간 외에는 고이메일 상담를 통해 글을 남겨주시면|빠른시간 내에 답변 드리겠습니다."
61,smegadmin,배송 가능한 지역은 어떻게 되나요?,"전국 모든 지역의 배송이 가능합니다. 단|도서지역과 울릉도는 배송/설치가 제한되며 내용은 아래와 같습니다.<br>
<br>
1. 차도선이 운영되는 도서지역은 7대 제품 'TV|홈씨어터|세탁기|냉장고|김치냉장고|에어컨|IT제품(PC/모니터/프린터)' 외에는<br>
설치가 불가능하며|배송/설치 일자는 요청일 보다 15일 이상 지연될 수 있습니다.<br>
※ 82cm 미만 TV/모니터|노트북은 배송기사에게 요청하시는 경우에만 설치 가능합니다.<br>
※ 138cm 이상 TV|양문형 냉장고|비스포크 냉장고|스탠드형 김치냉장고|세탁기 7kg 이상|건조기|에어드레서의 경우 설치 전문가의 직접 설치 및 시운전이 반드시 필요한 필수 설치 품목 입니다.<br>
단|차도선이 운영되지 않는 도서지역은 설치가 불가능합니다.<br>
이 경우 택배로 배송이 가능하며|배송된 제품은 구매자께서 직접 설치하셔야 합니다.<br>
※ 도서지역 기준 : 승선 후 섬까지 소요시간 15분 초과 또는 선박 운항회수가 일5회 이하 섬 지역<br>
<br>
2. 울릉도는 모든 제품의 설치가 불가능하며|제품 구매시 도선료 외 일체 배송비는 고객부담입니다.<br>
또한|배송된 제품은 구매자께서 직접 설치하셔야 합니다.<br>
<br>
3. 도서지역 및 울릉도에서 제품 구매시 사전에 고객센터(1588-1588)통해 배송/설치 가능여부 확인 부탁드립니다."
62,smegadmin,매장 픽업 주문에 대해 알고 싶어요.,"매장픽업은 삼성닷컴에서 주문|결제 후에 최단 2시간 이후에 고객님께서 지정하신 전국 삼성전자 매장(디지털프라자|모바일스토어)에서 주문하신 상품을 수령 할 수 있는 서비스입니다.<br>
매장픽업은<br>
- 전자제품을 온라인에서 주문하시고|매장에서 당일 수령 할 수 있습니다.<br>
- 주문상품을 주문고객이 직접 수령하실 수도|수령인을 따로 지정하실 수도 있습니다.<br>
<br>
매장픽업은 이렇게 활용하시면 매우 편리합니다.<br>
- 온라인 쇼핑으로 간편하게 구매하시고|구매하신 상품을 구매 당일 바로 찾아 사용하실 수 있습니다.<br>
- 여행 시 사용하실 상품을 집이나 직장에서 구매하시고|여행지에서 바로 찾아 사용하실 수 있습니다.<br>
- 해외여행 가실 때|집이나 직장에서 주문하시고 공항 인근에서 주문 상품을 찾아가실 수 있습니다.<br>
- 부모님께 선물하실 때|주문고객께서는 삼성닷컴에서 간편하게 주문/결제하고|부모님은 매장에서 상품을 찾아가시면서 매장직원에게 사용 설명을 받으실 수 있습니다.<br>
- 택배 수령이 어려운 경우|온라인으로 주문하고 인근 매장에서 직접 수령 할 수 있습니다. (매장 영업시간 내 방문)<br>
<br>
<매장픽업 주문 절차><br>
1. 매장픽업 플래그가 적용된 상품의 상세 화면에서 배송방법으로 ‘매장픽업’을 선택<br>
2. 상품을 수령할 픽업매장을 선택한 후 주문/결제<br>
3. 매장픽업 주문접수 안내 메시지 수신<br>
4. 방문수령코드 및 매장조회코드가 포함된 주문접수 완료 안내 메시지 수신<br>
5. 해당 매장으로 상품 준비 여부 확인 및 상품 픽업시간 예약<br>
6. 방문수령코드/매장조회코드가 기재된 방문수령증을 지참하고 해당 매장을 방문하여 상품 수령<br>
<br>
※ 매장픽업 유의사항<br>
- 삼성닷컴 회원만 매장픽업 서비스를 이용하여 주문 가능합니다.<br>
- 매장픽업 플래그가 적용되어 있는 상품만 매장픽업 서비스가 가능하며|재고가 있는 매장만 상품 픽업 매장으로 선택 가능합니다.<br>
- 매장픽업 주문 후 2주 이내 수령하지 않으시면 주문이 취소될 수 있습니다."
